IMBD title ID,Original title,Release year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
tt0111161,The Shawshank Redemption,1995,Drama,142,USA,R,Frank Darabont,28.815.245,2.278.845,"9,30"
tt0068646,The Godfather,1972,"Crime, Drama",175,USA,R,Francis Ford Coppola,246.120.974,1.572.674,"9,20"
tt0468569,The Dark Knight,2008,"Action, Crime, Drama",152,USA,PG-13,Christopher Nolan,1.005.455.211,2.241.615,"9,00"
tt0071562,The Godfather: Part II,1975,"Crime, Drama",220,USA,R,Francis Ford Coppola,40.835.783,1.098.714,"9,00"
tt0110912,Pulp Fiction,1994,"Crime, Drama",,USA,R,Quentin Tarantino,222.831.817,1.780.147,"8,90"
tt0167260,The Lord of the Rings: The Return of the King,2004,"Action, Adventure, Drama",201,New Zealand,PG-13,Peter Jackson,1.142.271.098,1.604.280,"8,90"
tt0108052,Schindler's List,1994,"Biography, Drama, History",,USA,R,Steven Spielberg,322.287.794,1.183.248,"8,90"
tt0050083,12 Angry Men,1957,"Crime, Drama",96,USA,Not Rated,Sidney Lumet,576,668.473,"8,90"
tt1375666,Inception,2010,"Action, Adventure, Sci-Fi",148,USA,PG-13,Christopher Nolan,869.784.991,2.002.816,"8,80"
tt0137523,Fight Club,1999,Drama,,UK,R,David Fincher,101.218.804,1.807.440,"8,80"
tt0109830,Forrest Gump,1994,"Drama, Romance",142,USA,PG-13,Robert Zemeckis,678.229.452,1.755.490,"8,80"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2002,"Action, Adventure, Drama",178,New Zealand,PG-13,Peter Jackson,887.934.303,1.619.920,"8,80"
tt0060196,"Il buono, il brutto, il cattivo",1966,Western,161,Italy,Approved,Sergio Leone,25.252.481,672.499,"8,80"
tt0133093,The Matrix,1999,"Action, Sci-Fi",,USA,R,"Lana Wachowski, Lilly Wachowski",465.718.588,1.632.315,"8,70"
tt0167261,The Lord of the Rings: The Two Towers,2003,"Action, Adventure, Drama",179,New Zealand,PG-13,Peter Jackson,951.227.416,1.449.778,"8,70"
